用户名,ID,问题,问题链接,评论,时间,回答链接
"ccccll","ccccll-82","作为一个程序员不知道 vim 正常吗？","https://www.zhihu.com/question/533309428","vim这东西本来就是一群CS届的孔乙己用来守门的东西，拼命敲鼓告诉别人自己多牛逼，你来了连字都打不了，哈哈哈你真没用我真厉害。所以不知道怎么不正常？其他几个回答说Linux怎么回事的笑死人了。现在连默认的Ubuntu安装都不给Vi和Vim了，都是nano，你跟我说Vim？到底是谁不懂？  实际上Dos时代的外部指令edit都比vim强。这东西唯一的作用就是你用的是加了一堆vpn去连国外的服务器，速度慢到死打不开图形界面的时候才会用。学习他是这个世界上最划不来的东西。Visual Studio，我三个月不用，回来基本该打什么代码打什么代码。Vim?三个月不用除了输入几个字，其他功能都会忘得一干二净。而且挑战一下自己，去装个新的Vim，没有任何设置，然后自己去改vim rc，别用谷歌，别用云存储，看看自己能记得住几个。","2023-03-18 02:08","https://www.zhihu.com/answer/2941445076"
"澄明","cheng-ming-jv-shi","全红婵说热干面不好吃，你觉得好吃吗？","https://www.zhihu.com/question/631981020","全红婵去武汉比赛被问热干面好不好吃，她说：可能是我个人原因，不是特别好吃。没想到直接上了热搜，引起了争议，不少人说她情商堪忧。","2023-11-26 10:23:12",""
"em文太","emmm-53-62-56","","https://www.zhihu.com/pin/1699585259551924224","女生搞全栈这么厉害","2023-10-23 02",""
"弗里德里希","fu-li-de-li-xi-91","一个数学系的女朋友是个什么体验？","https://www.zhihu.com/question/300034583","学生就是无聊，乏善可陈。","2023-05-11","https://www.zhihu.com/answer/3006326832"
"荒野大镖客","huang-ye-da-biao-ke-54-81","有哪些让你感动至落泪的照片？","https://www.zhihu.com/question/61028170","那么，其他人都没必要去安慰家人了，因为都死了","2023-08-18 11","https://www.zhihu.com/answer/3169735134"
"假装","jia-zhuang-16-8","郑州一罕见病患者称在一单位喝水受歧视，保安将其喝过的桶装水倒掉浇树，具体情况如何？该行为是否涉及歧视？","https://www.zhihu.com/question/617575539","所以你觉得这样的歧视是没有问题的吗？","2023-08-17 08","https://www.zhihu.com/answer/3168769559"
"juney","juney-98","可以展示一下你们的发疯时候的造句吗?","https://www.zhihu.com/question/615184782","别怪ta，只是你的视野问题","2023-08-31 12","https://www.zhihu.com/answer/3154343306"
"Michael Li","li-zheng-4-31","未来Linux Kernel 会不会用Rust 重写？","https://www.zhihu.com/question/620450041","请先浅了解一下Rust 再来回答。","2023-09-05 03:39","https://www.zhihu.com/answer/3197039724"
"夏索-小元","ou-ba-76-4","有没有被一句话伤了很久？","https://www.zhihu.com/question/406443773","咋没错，别在这包庇了，小孩有错还不能说咋滴，这么低情商的一句话咋能说出来呢，说出来就要考虑这个后果 / 换做职场，你领导来你这吃饭，你让人别吃了，对吗 / 哈哈哈21世纪了跟年龄有关系吗？只能说你还是多接触点人比较好 / 哈哈你可别把你家那点玩应拿出来说 我住的都是大house 你那圈子可不敢混 / 估计你小时候就是这小孩 哈哈还回复我 真是闲的 / 真的低级 说我有啥用呢 坐标沈阳 我同学被打的可以说名字 而且目前还联系 不信的可以找他去问","2021-06-30","https://www.zhihu.com/answer/1420293343"
"白马非马","qi-meng-yuan-98","有哪些你看一眼就终生不能忘的恐怖图片？","https://www.zhihu.com/question/41697934","我想问一下怎么才能自己卡自己这个部位？","2023-07-02","https://www.zhihu.com/answer/3077399772"
