用户名,ID,问题,问题链接,评论,时间,回答链接
"irii","18929301943","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","所以你希望去吸雾霾？","2023-08-16 16","https://www.zhihu.com/answer/3166848583"
"大毒蛇","35-26-35-33-50","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","你可别代表我，我国内还有产业呢","2023-08-17 04","https://www.zhihu.com/answer/3166848583"
"铁石","48-60-51-4-5","为什么美国就没有像苏联那样有那么多历史污点？","https://www.zhihu.com/question/616557347","苏联的粉丝面对历史污点的时候总是百般辩护，说是必要的，那为什么美国就没有这么多污点呢？","2023-08-10 09:22:24",""
"阿风的记事簿","a-feng-de-ji-shi-bo","《流浪地球 2》里，要求五十岁以上的执行必死的任务，是否是道德绑架？","https://www.zhihu.com/question/580649418","莫斯科卫士勋章[尴尬] / Capital卫士勋章，为什么颁发的自己先查查吧[尴尬]  / 只有那一年去首都的战士才有[大哭]不过现在好像市场上好像800多能买到，在家里镇宅不错[惊喜]","2023-08-19","https://www.zhihu.com/answer/3152545312"
"猎户座","gu-feng-54-13-62","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","我就是人民中的一员，请问你有什么资格代表我？","2023-08-15","https://www.zhihu.com/answer/3166848583"
"秋丘秋","qiu-qiu-qiu-5-56","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","谁站在人民群众的立场上 不是你说了就是的吧","2023-08-16 07:25","https://www.zhihu.com/answer/3166848583"
"吴域","realm_of_wu","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","2021年中国的人均碳排放已经远远超过了西欧和日本，排放量也超过了发达国家13亿人的排放量总和。","2023-08-16 23","https://www.zhihu.com/answer/3168722207"
"temperance","temperance-3-62","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","请问你是山西哪里人","2023-08-16 22","https://www.zhihu.com/answer/3166848583"
"NIC00085674","xia-lei-17-38","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","你只能代表你自己。","2023-08-16 10:18","https://www.zhihu.com/answer/3166848583"
"漫卷","xing-zhi-he-yi-81","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","至少我能代表我自己，所以没有我的许可別在这乱代表我","2023-08-16 20","https://www.zhihu.com/answer/3166848583"
"都是啥不比2","xqy-91-16","如何看待博主李悄发帖表示「越是抨击柴静，相反越能知道柴静是一种独特的声音，少有的声音」？","https://www.zhihu.com/question/617415062","别代表我哈","2023-08-17 11","https://www.zhihu.com/answer/3166848583"
