用户名,ID,问题,问题链接,评论,时间,回答链接
"知乎用户.","--40-28-83-91","女厕满了可以去男厕上吗？","https://www.zhihu.com/question/611477977","女生屎量大 频率多我觉得可以进男厕","2023-08-25","https://www.zhihu.com/answer/3181358242"
"啥鸡蛋超人","13971170177","叫老公做兼职我过分吗?","https://www.zhihu.com/question/624627349","老公有正式工作，由于工作比较清闲，工资不高，我就寻思着让他去做个副业，贴补下家用，这样我和孩子的生活质量能提高点，眼看一年又快过完了，满打满算正儿八经也就做了3个多月的事，我给他找的不喜欢，他自己找的最多干两个月最少干一个月，现在我让他继续找兼职做，很不耐烦，说我饥不择食，什么工作都推给他，人家那么多人都能干，他就不能干？都这样了，还挑挑拣拣的说要找个心怡的兼职，我去，心怡的兼职我真是笑死了！意思就是我逼他了，还给我脸色，我错了？？？？让家人过上好的日子不是男人的目标吗？而且孩子上了幼儿园以后我不也要上班吗，时间就是金钱啊，为什么有这个时间去找兼职而不去？？","2023-10-03 17:51:37",""
"超级幸运","46-40-54-38-89","大家能接受多少彩礼？","https://www.zhihu.com/question/593092091","0彩礼外加嫁妆一套房  条件：不生育，丁克，为避免婚后变卦，男方结扎","2023-09-01 21:53","https://www.zhihu.com/answer/3188500974"
"浮云","49-12-22-76","女人出轨就该死吗？是不是女人犯错就一辈子不能原谅……?","https://www.zhihu.com/question/593537696","","2023-04-03 23:06:45",""
"阿紫","a-zi-34-12-82","我的腿磕到了男朋友的相机，他第一反应关心相机正常吗？","https://www.zhihu.com/question/617435742","其他没问题，男女朋友，这个是要用赔这个词的嘛[尴尬][尴尬] 如果相机坏了，女孩子再赔一部是礼数，但男生不计较，好像也……行？","2023-08-25","https://www.zhihu.com/answer/3172710702"
"alex","alex-2-14","如何看待男子讨要彩礼未果将女方砍伤致死？","https://www.zhihu.com/question/622454212","就算今天彩礼还回去了。这男的以后也会砍人啊,只不过是换个人砍。。。房气太重了","2023-09-18 13:54","https://www.zhihu.com/question/622454212/answer/3216174929"
"安七七","an-qi-qi-39","男朋友私自把我身份证号发给朋友，用来帮买车票，是ok的吗？","https://www.zhihu.com/question/621330396","看男朋友手机才发现，他没有告诉我的情况下把我和他的身份证号发给他朋友，让他朋友一起买我们三个十一回家的火车票。 （1.没有告诉我十一要和那个朋友一起回家，2.他发我身份证号之前没有跟我说，到现在也没说是我自己看手机发现的） 我很生气，感觉这是个很严重的人品问题，本来打算十一订婚的，现在不知道这个人到底值不值得在一起了，求解答   （为什么他不自己买票？因为还有几天发工资，他手里没有那么多钱了。他有一笔存款，但是他说他永远不会动那笔钱，是装修的钱，所以他朋友说直接帮我们两个买票男朋友同意了）  （他朋友我见过一次，但没有联系方式，不熟）  新增：老家是一个城市的，之前买票也是他一起买了我全程不问不操心，唯一的区别在于这次他让朋友代买，发身份证号之前没有跟我说一下 / 没说不可以发 说的是应该踢球说一下要发 女朋友看男生手机不是很正常吗 难道你男朋友没有主动把你指纹录进去允许你看手机? / 这都不同意的男的 还值得有对象? / 他就不想分 你气不气","2023-09-10 03:56:18",""
"嗷嗷的渣","ao-ao-de-zha","我怀孕了，但是男朋友想做亲子鉴定，你们能接受吗？","https://www.zhihu.com/question/471757611","如果我老公这么跟我说，我会给他两个选择，一个是做完不管结果怎么样，打胎离婚，二个是做完是他的，他又不想离婚，那以后每天每个小时拍一次视频发给我证明他在哪里、跟谁在一起，他花的每分钱都要详细写明用在哪里了、收据付款单之类的都要整理好交给我，我要什么时候看他手机就什么时候看，电脑浏览记录不准删除，他能接受那我去做亲子鉴定也没什么问题啊，不信任是互相的，你不信任我，那我肯定也不信任你。","2023-04-19 15:49","https://www.zhihu.com/answer/2991146416"
"第五轻柔","di-wu-qing-rou-88-89","尊重女性很难吗？","https://www.zhihu.com/question/608473658","错的经验你会去学吗？","2023-08-14 16","https://www.zhihu.com/answer/3162670018"
"夏夜的风","jing-hai-zhi-ge","尊重女性很难吗？","https://www.zhihu.com/question/608473658","太挤了，大家都有错，大家互相道歉就好 / 大家一致攻击女性，能起到任何积极作用吗？我承认，女性偶尔也有考虑不足之处，但男人是否同样也有不够到位的地方？ 即使我说的有些不对的地方，但这些事情也并非无中生有，希望大家能保持客观。 大家互相道歉，互相理解，这样才能促进男女去改正自身的问题，同时祝愿祖国越来越好！","2023-07-25","https://www.zhihu.com/answer/3096164237"
