用户名,ID,问题,问题链接,评论,时间,回答链接
" ","82-9-83-82","为什么巴勒斯坦人要恨以色列？","https://www.zhihu.com/question/626804607","实際巴荔斯坦人并不恨以色列。以色列9000多万人中，有20%多是巴勒斯坦人。加沙也有20000多人在以色列打工，家里生活都比较富裕。只有哈马斯等恐怖分子恨以色列。","2023-10-21 20:37","https://www.zhihu.com/question/626804607/answer/3259075970"
"daryl","DarylL","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","加沙地带是以色列从埃及手上夺回来主动撤军的[飙泪笑]","2023-10-15 07:52","https://www.zhihu.com/question/459470265/answer/1897224131"
"白衣卿相","bai-yi-qing-xiang-35-74","如何看待巴以冲突国内舆论环境从开始的各支持一半，到彻底偏向巴勒斯坦？","https://www.zhihu.com/question/625874807","收复故土是没有一丁点可能是事情，只会导致仇恨和战争永远持续下去","2023-10-15","https://www.zhihu.com/question/625874807/answer/3249733766"
"cc407","cc407","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","去考古下 阿拉伯人才是哪块土地后来者","2023-02-12 23:57","https://www.zhihu.com/question/459470265/answer/2890285534"
"薛定谔的猫脚","cha-wu-ci-ren-82-7","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","谁想支持巴谁支持去，我支持","2021-05-18 18:05","https://www.zhihu.com/question/459470265/answer/1892990685"
"陳老9","chen-lao-9-27","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","拿家园来说事？从历史上看，犹太人才是新月沃土两千多年前最早的原住民。 / 印第安人有什么理由算美洲原住民，犹太人就有同样的理由算耶路撒冷原住民——都按照时间早晚来算！ / 更何况以色列建国是United Nations的决定，相当于法庭判决了房子是谁家的 / 想想巴黎和会上中国代表团的慷慨陈词：中国不能失去山东，就如同西方不能失去耶路撒冷一样——一句话概括了耶路撒冷对于犹太人的家园意义。","2022-05-25","https://www.zhihu.com/question/459470265/answer/1899079678"
"高梵","gao-fan-29-26","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","你们以为你们在支持巴勒斯坦，真的是你们以为的吗？  不过是某种强力在引导你们支持巴勒斯坦。  同样都是以强凌弱。  锡金被印度吞并，怎么不见得你们支持锡金，强烈抗议印度呢？  俄罗斯吞并唐努乌梁海，怎么不见得你们抗议俄罗斯呢？  俄罗斯侵占克里米亚，怎么不见你们抗议俄罗斯呢？  倒是网民们嘲讽乌克兰的很多。  所以说，很大程度上都是被刻意引导的结果。","2021-05-21 06:38","https://www.zhihu.com/question/459470265/answer/1897224131"
"hhh","hhh-47-17-38","为什么这么多人讨厌以色列？","https://www.zhihu.com/question/301813430","可是你的这些所谓事实有没有论据支持呢？ / 所以呢真就没有任何征集发黑不是你这文章我起码见过两个一毛一样 / 所以呢？只需你说不许质疑楼 / 所以说现在造谣非常廉价 / 别的不说就犹太人在上海贩毒，放高利贷，不是大量犹太难民都没钱及时有放的又又几家？用这两种情况代替犹太人没意思，贩毒没找到资料请提供 / 当时中国土烟就已经成了中国主要鸦片了 / 让孟加拉人种鸦片是沙训家族呵呵东印度公司就这么没用排面，把所有责任扔到犹太身上没意思 / 而且沙逊在孟加拉，孟买在孟加拉我姑且蒙在鼓里，而且沙逊绝对不是最早的，他只是跟风，虽然缺德但是说他开启了鸦片战争基本就是造谣，你真以为鸦片战争是真的因为鸦片 / 而且你这些信息都是那来的给我看一下我都找出那么多错误至于其他的我有空在查 / 第三汇丰是苏格兰人健的 / 沙逊王朝我知道我想要的是链接 / 出差提供一下 / 谁关注犹太人贩毒我又不是不知道我只是像知道链接在哪玩看看别告诉我几本书你都没有 / 不好意思你就是有错误我说了你还不乐意了 / 我是想要文章链接 / 就是你看的那个文章至于其他资料我自己找， / 名字也行 / 反正上海的犹太难民没有，在抗日战争时期上海的外国鸦片早就示微了，他们有犹太人但是和难民有何关系？还有哈尔滨犹太国的主题是伪满洲过和哈尔滨的犹太人和上海的难民是两拨人，他们也只是为了生存和日本人合作你总不能指望他们为了一个崩溃的国家拼命吧 / 我在说其他问题上犹太人如何如何，你扯以色列驱逐中国游客的问题。咱们说的不是一个事你说这些不影响我的话。 而且在疫情期间驱逐有可能带有新冠的人虽然过于粗暴残酷但是也够不上嘴大的恐怖主义 / 评论咋被吞了？","2021-05-22","https://www.zhihu.com/question/301813430/answer/1895645940"
"刘某","ly8531","一句话，以色列是不是侵略？","https://www.zhihu.com/question/625438724","一句话，不是。  我们来看看以色列如今的领土是如何形成的。  以色列建国前，巴勒斯坦地区是英国从奥斯曼帝国手里抢来的殖民地，这里长期生活着很多民族，人数较多的就是阿拉伯和犹太两个，后来英国把这个地区交给联合国处理。  联合国出了个181号决议，让这块土地上的两个主要民族，阿拉伯人和犹太人分别建国，并大致划出了双方的领土范围。阿拉伯国家集体表示反对，这里要特别注意，拒绝181号决议的可不是当地阿拉伯居民，是周边国家，尽管它们的主体民族也是阿拉伯人，但它们并没资格代表当地阿拉伯人表态，在这个决议中，它们的地位和其他国家没有什么区别，也只能是一国一票。至于当地阿拉伯人？他们当时（恐怕现在也是）根本就没有一个说了就算的明确的代表机构，也就根本没法表达意见。  犹太人接受了联合国决议，建立了以色列，结果以色列建国第二天，阿拉伯联盟大军压境，几乎攻占了整个巴勒斯坦地区，那么它们扶植当地阿拉伯兄弟建国了吗？没有，它们要的是瓜分整个地区，甚至在以色列人厉兵秣马的四周停火期内，它们都在为分赃争吵不休。  后来的事情大家都清楚，四次中东战争，以色列越打越大，阿拉伯人屡战屡败，最终阿拉伯联盟的盟主埃及被打服，联盟被打散。在这个过程中，以色列才完全控制了巴勒斯坦地区。  从这个历史就能看出来，以色列在巴勒斯坦地区建国是正当的，它一开始也没有想独占这个地区的意思，是在历次反侵略战争中才逐渐从侵略者手中夺得了现在的控制区。  再来看看周边的阿拉伯人，在还有灭掉以色列，瓜分巴勒斯坦地区的念想的时候，阿拉伯联盟完全没有对巴勒斯坦阿拉伯人独立建国进行过任何支持，甚至连姿态样子都没做过，能打下一块地就自己先占了再说。直到心知灭亡以色列无望，不得不与之和平共处，才将巴勒斯坦这个名头抬出来，扶植这个它们从来都没放在眼里的解放组织。  所以，以色列根本不是侵略者，埃及、叙利亚、约旦等国才曾经是侵略者。所谓“巴勒斯坦国”现在能成为有一个一定实控区域的准国家，可以说完全靠以色列把从侵略者手中夺回的部分领土让给它。","2023-10-12 14:58","https://www.zhihu.com/question/625438724/answer/3246941555"
"二十四向风","makubex-84","巴以冲突，为什么大多数人支持巴勒斯坦?","https://www.zhihu.com/question/459470265","巴勒斯坦地区历史上曾经被很多国家和民族占领过,现在只剩下犹太人和阿拉伯人了，阿拉伯人都干了啥你真不知道吗？🤷‍♂️","2021-05-23","https://www.zhihu.com/question/459470265/answer/1899079678"
