用户名,ID,问题,问题链接,评论,时间,回答链接
"mamo","52-33-13-4","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","笑死谁给学校的权利，还管喝酒未婚性行为，学校不咋的屁事儿真多。 / 红先生千股都没几个人说有辱国格呢。[惊喜][惊喜][惊喜][惊喜] ","2025-07-15 07","https://www.zhihu.com/question/1927742141112738034/answer/1928066342482870932"
"test","52-51-26-23-95","大连工业大学在官网发布拟开除学生李欣莳的公告，明确列出其姓名及具体行为，是否侵犯学生隐私？合法吗？","https://www.zhihu.com/question/1927815577105298443","其实学校做对做错有待商榷，某些网友才是逆天，集体批判一个道德缺陷但没犯法的人，开他盒的人可是犯法了，怎么没人批判？说白了就是满足了某些人的网暴癖和所谓的道德洁癖，他们根本不在乎真正的正义和法治是什么，之所以是所谓的是他们自己根本也没啥道德，却天天拿道德要求别人，还喜欢标榜自己满足虚荣心，中外对立+男女对立，要素可谓拉满了，对道德有亏的人进行批判，是群体零成本释放暴力情绪的途径，失徳终究是个人的问题，用不着像当初洪伟饼一样动不动就把别人拉出来游街示众，还有就是什么叫有辱校誉国格，这个标准在哪，怎么界定，谁来界定，这样概括的规定是不是太宽泛，太草率了，有没有被滥用的可能？","2025-07-15 03:25","https://www.zhihu.com/question/1927815577105298443/answer/1928289727678781344"
"落花狼藉","96-73-82-36-36","女生出轨外国电竞选手拟遭学校开除，学校的做法合理吗？学校职责的边界在哪里？","https://www.zhihu.com/question/1927742141112738034","开始还以为女的做外围，搞半天是出轨，那么开除的依据是什么？一个是法律层面的，一个道德层面的，怎么能混为一谈。","2025-07-14 01:29","https://www.zhihu.com/question/1927742141112738034/answer/1927902541624088430"
"波利西亞機槍彈鏈","axis-1-87","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","性別轉換一下，恐怕就不會被開除了  說到底還是前現代父權家長獨裁制遺毒作祟","2025-07-14 18:44","https://www.zhihu.com/question/1927742141112738034/answer/1928163016190437029"
"milalalalania","christine-33-60-80","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","太离谱了，不知道还以为梦回那个穿喇叭裤听邓丽君枪毙的时代了呢。浙大强奸的也都没开，这个女生也是倒霉，只能走申诉起诉了，但我估计也悬。  我不想去嘲笑谩骂她，她受到的处罚已经远远超出其犯下的过错，从过罚相当来讲，学校太过了。这姑娘现在要不然就重新高考，要不然就转学海本，要不就润吧，庇护条件也算沾点边（从现在的事态来看，已经比较符合了）  发展到现在已经变成了中世纪的荡妇羞辱和猎巫大狂欢了，原来当年菜市口围观看斩首就是这种感觉。大连工业的那几条离谱校规，可以说是严格立法、普遍违法、选择执法的典范了，如果违法必究，恐怕这所大学已经空了。营商环境差，法治环境差，不讲程序正义，毁掉了多少企业，造就了多少同案不同判的恶果，中国人这么多年深受其苦，轮到自己时叫苦连天，轮到别人就狂欢取乐，现在来看，思想是配得上苦难的  私德问题闹到这份上，已经上升到人权问题了，一个没有违法犯罪但是道德有亏的人是不是人，她有没有人权。不过对于所谓人权，我想大家估计也习惯了，算了无所谓了毁灭吧  回归事情本身，真心希望这个女孩不要因为网暴做傻事，她这种情况说不定学分还能一起转，不用重复修学分了","2025-07-13 19:57","https://www.zhihu.com/question/1927742141112738034/answer/1927818877380835064"
"Cocosuma","cocosuma","大连工业大学开除李欣莳，多家新闻、网红觉得过重，是否真的过重？","https://www.zhihu.com/question/1927805340403110296","真想不通拿这玩意类比虐猫的是啥心态，虐猫虐狗是人家动物没受伤还是咋的？这女生私德再怎么不行人家又没伤害哪条生命。。。真就一路劳保快车狂飙啊？ / 虐猫不是不道德，而是实实在在有对具体的动物造成实际伤害，约炮到底是谁受伤害了我不懂 / 出轨是出轨，问题是出轨被开除的学生还真没见过几个 / 构成嫖娼了吗？貌似没有直接金钱交易上床啊（注意是直接，间接的是不算的）。不过如果要是直接金钱交易那确实活该了 / 你看看我ip，我们这不犯法[爱] / 卧槽，原来还真是这种也管的，那其实我觉得出轨也不该开除的（（ / 劳保一路狂飙走好 / 学校管的不就该是学校的事，照你这么随便扩大化那你上个小黄网也给你开了呗 / [吃瓜]是你扩大化的 / 那看来是我被新闻学了，长时间离校旷课确实可以开了 / 这又是什么鬼事件，怎么这么多怪事。。 / 没毛病，就跟狱警还要杀杀人犯一样，正确的人在正确的地方该做的事没毛病。我反感的主要是作为学校不是一个正确的人也不是一个正确的地方去审判别人与校园无关的私事。 / 那该骂的不是zeus嘛，这人确实听脑瘫","2025-07-14 18:38","https://www.zhihu.com/question/1927805340403110296/answer/1928161537887012000"
"Cong","cong-14-31","大连工业大学在官网发布拟开除学生李欣莳的公告，明确列出其姓名及具体行为，是否侵犯学生隐私？合法吗？","https://www.zhihu.com/question/1927815577105298443","我猜她是个法盲，不知道可以申诉。您觉得呢？查看图片 / 您知道？您说说[小情绪] / 对对对，你最对 / 我就算不是法律人，也知道国格不会挂在这个学生裤腰带上[小情绪] 如果要说大连工业要说他们校誉挂上了，我鼓掌认同，合理。 / 我们的谁？ 为什么要被这件事败坏名声？ 谁认同这件事影响“我们”谁自己站进去接受逻辑天才的侮辱，我鼓掌相送。[小情绪] / 真好奇你的逻辑[思考] / 建议怀疑一下自己。 不然你会发现世界到处都是问题还找不到原因[害羞] / 《被拍=传播》[小情绪]如果实在搞不懂建议你报警验证下。 这位答主的回复是在说什么能懂吗？ 我免费解释下，他在说退学≠开除学籍。 / 哟，鬼佬的小丑逻辑还得到你和你同学的认可了？ 建议你校加强爱国教育和逻辑教育。 / 好有逻辑👏👏👏，咋还不报警呀，动动手指打 110 就行。 / 我小学毕业[害羞]咋滴了 / 高看我了[害羞] / 会因为一个人被不公正对待发声很奇怪吗？你是不会物伤其类还是自己开除人籍了？ 违反公序良俗和“国格”有啥关系？你定调的国被辱了？ 诚恳地问：你是什么国？ / 这是辱国法条吗，我可能眼瞎了[小情绪] / 你也“乌克兰”人？ 你们的国度是不是看片比被拍要高贵几层呀？未曾听闻，这是哪国？ / 我是中国人。 不接受这套国格在裤腰带上。 请问你是哪国？","2025-07-13","https://www.zhihu.com/question/1927815577105298443/answer/1927840669558366787"
"雪里什么都有","da-hao-zi-zhuan-jia","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","谁给一个大学的脸，让它可以上纲上线解释国格？  要说有辱国格，怎么，小红叔热点消失的这么快啊。  大众可以不要求现在曝光，但官方是不是该有个态度啊，那是真滥交。","2025-07-13 22:15","https://www.zhihu.com/question/1927742141112738034/answer/1927853663143069485"
"独孤豫仙","du-gu-yu-xian","这跟学校有关系吗？纯属私事","https://www.zhihu.com/question/1927742141112738034","只许州官配学伴，不许百姓睡明星 鲍鱼国有 不知道谷爱凌她妈算“有辱国格”？“为国争光”？还是“国有资产增值”？","2025-07-14 13:52","https://www.zhihu.com/question/1927742141112738034/answer/1927913160322548734"
"vt two","e-er-xue-yi-fen-fen-ran","关于大连工业大学李欣莳被开除事件你们怎么看？","https://www.zhihu.com/question/1927799729569396381","我只看到了，学校选择性执法遗祸无穷！那个校规文件如果严格实行，学校里从老师到学生成大片的要被处分（婚前性行为，看av都是要被处分）但是，大家都是默认这个规则不存在。按这个思路推下去，可以校规规定不许右手写字，但是一直不严格实行，某位同学要是怎么惹的领导不开心，就拿这个理由开了他，还能震慑其他用右手写字的同学。设置了严格的规定，却只选择性执法，只会让领导层的权利无限膨胀","2025-07-14 14:54","https://www.zhihu.com/question/1927799729569396381/answer/1928011975612412687"
