用户名,ID,问题,问题链接,评论,时间,回答链接
"土土土土土","tu-tu-tu-tu-tu-77-36","医生在后背的腰部注射麻药时，会不会偷走身体内的器官？","https://www.zhihu.com/question/555030898","","2022-09-23 02:05:40",""
"智商高的惊人","qin-shi-ming-yue-yi-shi-guan-54-38","一个人可以聪明到什么程度？","https://www.zhihu.com/question/66252803","大概2岁多的时候就独立体验康德的针对宇宙开端与时空关系的四个命题（当时不知道有康德这个人），并深入做了等价的二律背反批判。\n大概4岁多的时候接触牛顿三定律，伽利略转化思想（家长口述的方式），我并没有盲从，而是独立思考，并且在哲学层面指出它们的错误性以及局限性。\n6岁上学认字之后，陆续精读了2000多本哲学书，喜欢钻研有深度，值得咀嚼的，可惜遇到的很少，大部分思想性还是太肤浅了。\n初二时闲的无聊，很随意参加一次数学竞赛，获得了市数竞一等奖，别人都说竞赛题比课本题要难，我恰恰觉得竞赛题比课本题简单。课本题需要记很多公式，知识点太多，而竞赛题大多是让你寻找到方法，中间拐几个弯而已，特别简单。\n高中时很随意的就获得了全国物理奥赛省二等奖，后来领奖的时候我甚至忘记曾经参加过。\n大一闲着无聊当家教，很随意的就教了一名初中学生，获得了全国华罗庚杯数学竞赛金牌。\n这些都是很随便的一些生活记忆：\n例如鄙人随便用一个下午就把费马大定理整出来了，我都没说自己数学怎么样。\n证明如下:\n还有随便用刻把钟的功夫把相对论用小学的知识普及出来了，让这么精妙绝伦的理论从专卖店进入到菜市场，让市井走卒都可以随便看懂，我也没说过自己物理怎么样。\n比如以前随便教个初中学生，都是全国华罗庚数学竞赛金牌得主，他还诚挚的认为不如我，我什么时候又说过自己智商高了？\n证明如下：\n通过精读了2000多本哲学书，把整个人类的所有哲学思想都摸清楚了，也做了系统排名，这种思想性的东西又是形而下学的数学能比的吗？我又说过自己哲学好吗？\n这种例子可以说比比皆是，当然这些也都是一种经历，一种体验，过眼云烟罢了。可以说九牛一毛，不值一提，不骄不躁、功成不居、戒骄戒躁、 洗耳恭听、 虚怀若谷 、慎言谨行、不耻下问 、不骄不躁 、不矜不伐，不露圭角 、辞尊居卑 、谦让末遑 、犬马之劳 、功薄蝉翼 、好问则裕 、戒骄戒操 、礼贤下士、 抛砖引玉，深藏若虚 、损之又损 、闻过则喜、 洗耳恭听 、虚怀若谷 、逊志时敏、 言者无罪、,闻者足戒 、移樽就教 、以莛叩钟。愚者千虑,必有一得、 整瓶不摇半瓶摇、载酒问字 、择善而从、 知之为知之 、自知之明、引玉之砖。\n也谈不上聪明，勉强混个普通人吧。","2023-03-31 08:25","https://www.zhihu.com/answer/2961597956"
"林深见鹿er","shui-shui-65-57","高三学生买蛋糕庆祝被纪律老师砸坏，「很多学生被气哭」，老师的做法会给学生心理造成什么影响？","https://www.zhihu.com/question/604864874","还没高考吧，提前就蛋糕开始庆祝了？是学渣吗？扰乱教学秩序，如果是高考后我觉得得是学校的问题，但是在考前3天搞这个事，有问题的是这几个学生！","2023-06-05 19:19","https://www.zhihu.com/answer/3060255616"
"吾乡影评","jesse-73-17","高三学生买蛋糕庆祝被纪律老师砸坏，「很多学生被气哭」，老师的做法会给学生心理造成什么影响？","https://www.zhihu.com/question/604864874","明知有纪律不可为，偏偏要触碰纪律底线，轮到自己利益受了损失，还要拉上别的班，为什么只砸你们班？打算法不责众吗？\n也算是学校给你们上了一课，到了社会上，法律的底线可别想着法不责众。","2023-06-05 20:52","https://www.zhihu.com/answer/3060361290"
"流光","liu-guang-22-42","大学某个班委晚上突然发的通知，私自立了许多不可理喻的规矩，你怎么看?","https://www.zhihu.com/question/594213364","原来在大学里不迟到不挂科属于不可理喻的要求，奇奇怪怪的知识又增加了。","2023-04-13 10:54","https://www.zhihu.com/answer/2981540402"
"周克华持枪抢劫","17-26-61-41","男子地铁上被两女子称鞋面装摄像头偷拍，民警调查证其清白，男子拒绝接受道歉并希望起诉，后续将如何发展？","https://www.zhihu.com/question/606317343","？？？你们这些男的搞笑吧。出了事情就说是女孩子自己没有安全意识，现在女孩子有防范心理又是她的不对？？？究竟要女生怎么样啊","2023-06-13 16:10","https://www.zhihu.com/answer/3071981486"
"周克华持枪抢劫","17-26-61-41","女生骂男生偷拍变态后称认错人了，被诬告偷拍你会怎么做？","https://www.zhihu.com/question/606321481","不是，我就不懂了，一群男的揪着一个女生不放，你们好意思吗，她也是出于防范心的，不是有意的，至于这样吗？？？我们女孩子的安全感难道就不能尊重一下吗？？！！！！！！\n\n女孩长得那么好看，提防一下猥琐男又怎么了？？！！","2023-06-13 17:09","https://www.zhihu.com/answer/3072084152"
"看客","kan-ke-72-8","父母蠢是什么体验？","https://www.zhihu.com/question/62889726","家长一般特意淡化这些，是好心。","2023-06-10","https://www.zhihu.com/answer/3012071414"
"久经考验","jiu-jing-kao-yan-36","你见过的狠人有多绝?","https://www.zhihu.com/question/538690869","如果是一个人，那是个人教育问题，如果是全世界大多数都这样呢？","2023-04-26","https://www.zhihu.com/answer/2985743053"
"宇宙监听员","216-50-88","你见过的狠人有多绝?","https://www.zhihu.com/question/538690869","不是贬低，它就是不行啊","2023-05-11","https://www.zhihu.com/answer/2985743053"
"顺其自然","hong-yue-ze-31","你见过的狠人有多绝?","https://www.zhihu.com/question/538690869","关键我们真的很穷 到现在大部分人还是非常穷 看不起是有道理的","2023-05-11","https://www.zhihu.com/answer/2985743053"
"天下为私","tian-xia-wei-si-84","如果中国采用英美法系会有什么结果?","https://www.zhihu.com/question/370403049","然后，中国牛奶国家标准低到难以理解，你是真不提呀。","2023-06-13","https://www.zhihu.com/answer/2527915096"
"寻找火把","a-yan-53-67","如果中国采用英美法系会有什么结果?","https://www.zhihu.com/question/370403049","这是有心人把两起不相干事凑在一起造的谣。[捂脸]

再多劝一句，简中谣言多到数不清，多查查讯息出处，别轻听轻信。","2023-06-26 12:08","https://www.zhihu.com/answer/2527915096"
"岁寒","sui-han-80-8","如果中国采用英美法系会有什么结果?","https://www.zhihu.com/question/370403049","然后三鹿改名君乐宝，继续卖，没人再去追究","2023-06-26 03","https://www.zhihu.com/answer/2527915096"
"在野的何谦信","yan-yi-kun-83","当今社会下，吃猫狗肉是人道与道德的败坏，你怎么可能不赞同？","https://www.zhihu.com/question/608104065","难以置信还有人不赞同！这种残忍行径应该受到彻底谴责！动物们无辜地遭受痛苦和折磨，他们的生命岌岌可危！我们必须团结起来，全力反对这种令人发指的行为！呼吁立即立法，采取行动，保护这些无声的生命！谁敢公开反对？不赞同的人需要好好检讨自己的道德观念和人性！保护动物福利是我们的责任和义务！拒绝残忍，捍卫正义","2023-06-23 11:28:42",""
